Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						102.
					","

								Robert Covington							
","
							$12,975,471						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						103.
					","

								TJ Warren							
","
							$12,940,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						104.
					","

								Luke Kennard							
","
							$12,727,273						","
							$13,745,455						","
							$14,763,636						","
							$14,763,636						","
							$0						","
							$0						"
"
						105.
					","

								Deandre Ayton							
","
							$12,632,950						","
							$16,422,835						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						106.
					","

								Terrence Ross							
","
							$12,500,000						","
							$11,500,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						107.
					","

								Jordan Clarkson							
","
							$12,420,000						","
							$13,340,000						","
							$14,260,000						","
							$0						","
							$0						","
							$0						"
"
						108.
					","

								Dillon Brooks							
","
							$12,200,000						","
							$11,400,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						109.
					","

								Kelly Olynyk							
","
							$12,195,122						","
							$12,804,878						","
							$12,195,122						","
							$0						","
							$0						","
							$0						"
"
						110.
					","

								Nicolas Batum							
","
							$12,026,998						","
							$12,185,499						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						111.
					","

								Josh Hart							
","
							$12,000,000						","
							$12,960,000						","
							$12,960,000						","
							$0						","
							$0						","
							$0						"
"
						111.
					","

								Kelly Oubre							
","
							$12,000,000						","
							$12,600,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						111.
					","

								Jusuf Nurkic							
","
							$12,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						114.
					","

								Josh Richardson							
","
							$11,615,328						","
							$12,196,094						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						115.
					","

								Marvin Bagley							
","
							$11,312,114						","
							$14,762,308						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						116.
					","

								Dwight Powell							
","
							$11,080,125						","
							$11,080,125						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						117.
					","

								Devonte Graham							
","
							$11,000,000						","
							$11,550,000						","
							$12,100,000						","
							$12,650,000						","
							$0						","
							$0						"
"
						118.
					","

								Zion Williamson							
","
							$10,733,400						","
							$13,534,817						","
							$17,595,262						","
							$0						","
							$0						","
							$0						"
"
						119.
					","

								Larry Nance Jr							
","
							$10,690,909						","
							$9,672,727						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						120.
					","

								DeAndre Jordan							
","
							$10,517,224						","
							$7,827,907						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						121.
					","

								Jeremy Lamb							
","
							$10,500,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						122.
					","

								Reggie Jackson							
","
							$10,384,500						","
							$11,215,260						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						122.
					","

								Richaun Holmes							
","
							$10,384,500						","
							$11,215,260						","
							$12,046,020						","
							$12,876,780						","
							$0						","
							$0						"
"
						124.
					","

								Anthony Edwards							
","
							$10,245,480						","
							$10,733,400						","
							$13,534,817						","
							$17,595,263						","
							$0						","
							$0						"
"
						125.
					","

								Al-Farouq Aminu							
","
							$10,183,800						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						126.
					","

								Luka Doncic							
","
							$10,174,391						","
							$35,700,000						","
							$38,556,000						","
							$41,412,000						","
							$44,268,000						","
							$47,124,000						"
"
						127.
					","

								Cade Cunningham							
","
							$10,050,120						","
							$10,552,800						","
							$11,055,360						","
							$13,940,809						","
							$18,123,052						","
							$0						"
"
						128.
					","

								Danny Green							
","
							$10,000,000						","
							$10,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						128.
					","

								Tomas Satoransky							
","
							$10,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						130.
					","

								Kyle Anderson							
","
							$9,937,150						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						131.
					","

								Derrick Favors							
","
							$9,720,900						","
							$10,183,800						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						131.
					","

								Jae Crowder							
","
							$9,720,900						","
							$10,183,800						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						131.
					","

								Derrick Jones							
","
							$9,720,900						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						131.
					","

								Serge Ibaka							
","
							$9,720,900						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						131.
					","

								Tristan Thompson							
","
							$9,720,900						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						131.
					","

								Montrezl Harrell							
","
							$9,720,900						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
