Player,2008-2009
,Player,"
							2008/09						","
							2008/09(*)						"
"
						209.
					","

								Charlie Villanueva							
","
							$3,448,050						","
							$4,062,321						"
"
						210.
					","

								Shelden Williams							
","
							$3,395,760						","
							$4,000,716						"
"
						211.
					","

								Willie Green							
","
							$3,388,000						","
							$3,991,573						"
"
						212.
					","

								Charlie Bell							
","
							$3,354,480						","
							$3,952,082						"
"
						213.
					","

								Keyon Dooling							
","
							$3,300,000						","
							$3,887,896						"
"
						214.
					","

								Jeff Green							
","
							$3,287,640						","
							$3,873,334						"
"
						215.
					","

								Eduardo Najera							
","
							$3,250,000						","
							$3,828,989						"
"
						216.
					","

								Chucky Atkins							
","
							$3,240,000						","
							$3,817,207						"
"
						217.
					","

								Brian Scalabrine							
","
							$3,206,897						","
							$3,778,207						"
"
						218.
					","

								Kris Humphries							
","
							$3,200,000						","
							$3,770,081						"
"
						219.
					","

								Channing Frye							
","
							$3,163,769						","
							$3,727,396						"
"
						220.
					","

								Kevin Love							
","
							$3,163,680						","
							$3,727,291						"
"
						221.
					","

								Luis Scola							
","
							$3,100,667						","
							$3,653,052						"
"
						222.
					","

								Trevor Ariza							
","
							$3,100,000						","
							$3,652,266						"
"
						222.
					","

								Damien Wilkins							
","
							$3,100,000						","
							$3,652,266						"
"
						224.
					","

								Marc Gasol							
","
							$3,093,333						","
							$3,644,411						"
"
						225.
					","

								Brandon Roy							
","
							$3,084,240						","
							$3,633,698						"
"
						226.
					","

								Carl Landry							
","
							$3,000,000						","
							$3,534,451						"
"
						227.
					","

								Matt Bonner							
","
							$2,987,000						","
							$3,519,135						"
"
						228.
					","

								Yi Jianlian							
","
							$2,986,080						","
							$3,518,051						"
"
						229.
					","

								Ike Diogu							
","
							$2,912,823						","
							$3,431,743						"
"
						230.
					","

								Kelenna Azubuike							
","
							$2,900,000						","
							$3,416,636						"
"
						231.
					","

								Danilo Gallinari							
","
							$2,873,520						","
							$3,385,439						"
"
						232.
					","

								Didier Ilunga-Mbenga							
","
							$2,852,599						","
							$3,360,790						"
"
						233.
					","

								Randy Foye							
","
							$2,815,560						","
							$3,317,153						"
"
						234.
					","

								Andrew Bynum							
","
							$2,769,300						","
							$3,262,652						"
"
						235.
					","

								Andray Blatche							
","
							$2,739,669						","
							$3,227,742						"
"
						236.
					","

								Corey Brewer							
","
							$2,725,920						","
							$3,211,543						"
"
						237.
					","

								Sean May							
","
							$2,661,027						","
							$3,135,090						"
"
						238.
					","

								Eddie House							
","
							$2,650,000						","
							$3,122,098						"
"
						239.
					","

								Mark Madsen							
","
							$2,630,000						","
							$3,098,535						"
"
						240.
					","

								Eric Gordon							
","
							$2,623,200						","
							$3,090,524						"
"
						241.
					","

								Rashad McCants							
","
							$2,620,126						","
							$3,086,902						"
"
						242.
					","

								Dorell Wright							
","
							$2,612,835						","
							$3,078,312						"
"
						243.
					","

								Rudy Gay							
","
							$2,579,400						","
							$3,038,921						"
"
						244.
					","

								Keith Bogans							
","
							$2,565,000						","
							$3,021,956						"
"
						245.
					","

								Jackie Butler							
","
							$2,552,000						","
							$3,006,640						"
"
						246.
					","

								Maurice Evans							
","
							$2,500,000						","
							$2,945,376						"
"
						246.
					","

								Tony Allen							
","
							$2,500,000						","
							$2,945,376						"
"
						246.
					","

								Chris Mihm							
","
							$2,500,000						","
							$2,945,376						"
"
						246.
					","

								Craig Smith							
","
							$2,500,000						","
							$2,945,376						"
"
						246.
					","

								Michael Finley							
","
							$2,500,000						","
							$2,945,376						"
"
						251.
					","

								Brandan Wright							
","
							$2,497,320						","
							$2,942,218						"
"
						252.
					","

								Jason Hart							
","
							$2,484,000						","
							$2,926,525						"
"
						253.
					","

								Joey Graham							
","
							$2,449,184						","
							$2,885,507						"
"
						254.
					","

								Joe Alexander							
","
							$2,403,120						","
							$2,831,237						"
"
						255.
					","

								Danny Granger							
","
							$2,329,805						","
							$2,744,860						"
"
						256.
					","

								Damon Stoudamire							
","
							$2,325,000						","
							$2,739,199						"
"
						257.
					","

								Ricky Davis							
","
							$2,300,000						","
							$2,709,746						"
"
						257.
					","

								Sebastian Telfair							
","
							$2,300,000						","
							$2,709,746						"
"
						259.
					","

								Joakim Noah							
","
							$2,295,480						","
							$2,704,420						"
"
						260.
					","

								Maceo Baston							
","
							$2,272,860						","
							$2,677,771						"
"
						261.
					","

								Saer Sene							
","
							$2,252,400						","
							$2,653,666						"
